count|raw_tweet|processed_tweet
1|@boutiquedebella @kerry_wth His Pom looks like he’s also a senior. So glad to see them together. Fwiw when my mother started down that path she had to give up her car and house and she became angry. Doc put her on Celexa and the rest of her days were peaceful and happy. I was so grateful.|boutiquedebella kerrywth  pom looks     senior  glad     fwiw   mother started   path       car  house    angry doc    celexa   rest   days  peaceful  happy    grateful
2|@bartlebooth45 i would have absolutely sobbed during EEAAO but thanks to Celexa, i walked out with dry tear canals. Thanks, Celexa!|bartlebooth    absolutely sobbed  eeaao  thanks  celexa  walked   dry tear canals thanks celexa
3|Other high school thoughts: I barely remember the details but my psychiatrist gave me celexa before switching to prozac pretty quickly. I left the hospital on wellbutrin and was on that for a year and a few months before I had a seizure. Switched to Effexor in 2007.|  school   barely remember  details   psychiatrist   celexa  switching  prozac pretty quickly  left  hospital  wellbutrin           months     seizure switched  effexor  
4|celexa https://t.co/NktgfXmrao|celexa httpsconktgfxmrao
5|@schotts @Kyle_Mullica @hmckean @COParksWildlife @GovofCO @NRAILA @JeffBridges @laurenboebert @NRA @RMGunOwners @SenRhondaFields @Sully_720 @SenatorBennet @RepJasonCrow @ColoradoPTA @COCeasefire @shannonrwatts @MomsDemand @Everytown @StudentsDemand Exactly... say no to Selective Serotonin Reuptake Inhibitors (SSRI) drugsThe Food and Drug Administration (FDA) has approved these SSRIs to treat depression:Citalopram (Celexa)Escitalopram (Lexapro)Fluoxetine (Prozac)Paroxetine (Paxil, Pexeva)Sertraline (Zoloft) https://t.co/QwkiQbrzdG|schotts kylemullica hmckean coparkswildlife govofco nraila jeffbridges laurenboebert nra rmgunowners senrhondafields sully senatorbennet repjasoncrow coloradopta coceasefire shannonrwatts momsdemand everytown studentsdemand exactly    selective serotonin reuptake inhibitors ssri drugsthe food  drug administration fda  approved  ssris  treat depressioncitalopram celexaescitalopram lexaprofluoxetine prozacparoxetine paxil pexevasertraline zoloft httpscoqwkiqbrzdg
6|@wweisawesome123 I started taking Celexa for my anxiety and after 30+ years of struggle finally found some relief. I also discovered that my depression was a byproduct of my anxiety. I still have bad days but I no longer live under the relentless assault. I know it’s different for everyone.|wweisawesome  started taking celexa   anxiety      struggle finally found  relief   discovered   depression   byproduct   anxiety    bad days     live   relentless assault      
7|celexa is such a pretty name for a girl|celexa    pretty name   girl
8|@idk_celexa 🙈|idkcelexa 🙈
9|I think my celexa is finally kicking in Ive been feeling good these past few days|   celexa  finally kicking  ive  feeling   past  days
10|@pallasrising Celexa (Citalopram) 😞|pallasrising celexa citalopram 😞
11|9- Celexa https://t.co/0R1Ju78gZL| celexa httpscorjugzl
12|I took one celexa 28 hours ago trying to put out the best five minutes i thought hoff the record label is.|   celexa  hours ago trying      five minutes   hoff  record label 
13|@Laurenc84146607 Le dernier s'était celexa les autres jsuis pas sur|laurenc le dernier était celexa les autres jsuis pas sur
14|@slimeballmall celexa and adderall|slimeballmall celexa  adderall
15|@idk_celexa 🤷🏻‍♀️|idkcelexa 🤷🏻‍♀️
16|@AbbieTall little late on that celexa|abbietall little late   celexa
17|@EliotJacobson @Herbsimmens I'm seriously brain damaged (war wound) and emotionally not that well. I recently went cold turkey after 22 years of Celexa / Lexapro, and I'm not as stable as many others.I block everyone who annoys me. For better or for worse, I'm able to cope that way.And - what horseshit.|eliotjacobson herbsimmens  seriously brain damaged war wound  emotionally     recently  cold turkey     celexa  lexapro     stable    block   annoys      worse  able  cope     horseshit
18|@QuirkyGrrrl @Virginias389898 Effexor (venlafaxine) -- initial response = some dry mouth as I recall (been 20+ yrs now), maybe some others, but after 6-8 wks no side effects.  Bro takes Celexa. fyi anxiety attacks are also common in my family (mother, siblings, not me). I wish my mother had had access to meds|quirkygrrrl virginias effexor venlafaxine  initial response =  dry mouth   recall   yrs  maybe      wks   effects  bro takes celexa fyi anxiety attacks   common   family mother siblings    wish  mother   access  meds
19|@MssrRJLMoony im on wellbutrin rn and if he tries to put me back on celexa i WILL commit|mssrrjlmoony im  wellbutrin rn    tries      celexa   commit
20|@Hopptimist I don’t know why I’m worried. I’ve been on Celexa for almost 20 years, and have taken Xanax when needed. But neither have fully helped, and the ADHD Dx finally came together after years of wondering.|hopptimist  don    worried ve   celexa        xanax    neither   helped   adhd dx finally      wondering
21|@BCrowder45 @sweet_sailin @DaniStone2 @Sloopyy @RadioFreeTom Medicate. I have found Celexa to be cheap and highly effective. Take care.|bcrowder sweetsailin danistone sloopyy radiofreetom medicate   found celexa   cheap  highly effective  care
22|@supersmashoe Best of luck to you! Remember that this will be a transition, and you might feel weird, or like they're not working. Be patient, but if anything serious happens, call the doc right away. My first couple days on Celexa, it felt like I could feel electrical current in my brain!|supersmashoe   luck   remember      transition    feel weird       patient    serious happens call  doc     couple days  celexa      feel electrical current   brain
23|I could cry rnJust got prescribed some meds off this first visit which I wasnt expecting 😳 Celexa and Adderall Wish me luck|  cry rnjust  prescribed  meds    visit   wasnt expecting 😳 celexa  adderall wish  luck
24|me but celexa, lamictal, seroquel, &amp; xanax https://t.co/2fIkmTe92A|  celexa lamictal seroquel amp xanax httpscofikmtea
25|@WayneEl82924303 @Kobayashi_BSLSK IBS is actually a common side effect of zoloft, prozac and celexa.keep in mind marriage doesn’t always equal “cure for depression/suicidal ideation”, Ive anecdotally seen it do wonders for some late millennials and elder zoomers doing the wholesome chungus/cottagecore thing now|wayneel kobayashibslsk ibs  actually  common  effect  zoloft prozac  celexa  mind marriage doesn  equal cure  depressionsuicidal ideation ive anecdotally seen   wonders   late millennials  elder zoomers   wholesome chunguscottagecore  
26|@ajacobson921 Celexa baybeeeeeeeee 🤪|ajacobson celexa baybeeeeeeeee 🤪
27|@mearamcnitt Thanks! I'm on the same boat. Celexa doesn't seem to be working as it used to, so I am probably switching.|mearamcnitt thanks     boat celexa             probably switching
28|After writing my PCP a list of all the meds I remember trying for my depression (14 and I’m probably forgetting one or 2) - she had the audacity to try to sell me on Celexa. I’ll stick with ketamine thank you 👋🏻| writing  pcp  list    meds  remember trying   depression    probably forgetting        audacity  try  sell   celexa ll stick  ketamine thank  👋🏻
29|@neontaster Try celexa|neontaster try celexa
30|@MattGault1 🥰🤣no Mr Gault i could not imagine. Used tissues and vaseline jars lying about. Empty bottles of sildenafil, celexa, cholecalciferol, and Econazole also.If i was that thing i would seek some Potassium Cyanide and just get it over and done with.|mattgault 🥰🤣  gault    imagine  tissues  vaseline jars lying  empty bottles  sildenafil celexa cholecalciferol  econazole        seek  potassium cyanide        
31|RT @EspaarDO: @NurseDiane2020 From the age of 3 til 11 every doctor we saw (all 15) said my son was defiant, had anxiety and ADD. In fact,…|rt espaardo nursediane   age   til   doctor       son  defiant  anxiety  add  …
32|RT @EspaarDO: @NurseDiane2020 From the age of 3 til 11 every doctor we saw (all 15) said my son was defiant, had anxiety and ADD. In fact,…|rt espaardo nursediane   age   til   doctor       son  defiant  anxiety  add  …
33|RT @EspaarDO: @NurseDiane2020 From the age of 3 til 11 every doctor we saw (all 15) said my son was defiant, had anxiety and ADD. In fact,…|rt espaardo nursediane   age   til   doctor       son  defiant  anxiety  add  …
34|RT @EspaarDO: @NurseDiane2020 From the age of 3 til 11 every doctor we saw (all 15) said my son was defiant, had anxiety and ADD. In fact,…|rt espaardo nursediane   age   til   doctor       son  defiant  anxiety  add  …
35|RT @EspaarDO: @NurseDiane2020 From the age of 3 til 11 every doctor we saw (all 15) said my son was defiant, had anxiety and ADD. In fact,…|rt espaardo nursediane   age   til   doctor       son  defiant  anxiety  add  …
36|RT @EspaarDO: @NurseDiane2020 From the age of 3 til 11 every doctor we saw (all 15) said my son was defiant, had anxiety and ADD. In fact,…|rt espaardo nursediane   age   til   doctor       son  defiant  anxiety  add  …
37|@NurseDiane2020 From the age of 3 til 11 every doctor we saw (all 15) said my son was defiant, had anxiety and ADD. In fact, his brain was inflamed and he needed antibiotics and IVIG infusions, not a stricter mom and Celexa. He has #PANS and so do so many undiagnosed kids. It’s an atrocity.|nursediane   age   til   doctor       son  defiant  anxiety  add    brain  inflamed    antibiotics  ivig infusions   stricter mom  celexa   pans      undiagnosed kids   atrocity
38|“There’s no shame in the medicine game.” The brain is part of the body. If it needs medicine, it needs medicine. Celexa was a game changer for me, once I get my insurance sorted out you bet your ass I’m going back on it. https://t.co/8ZbHp4I8AU|  shame   medicine game  brain     body    medicine   medicine celexa   game changer       insurance sorted   bet  ass      httpscozbhpiau
39|@nicebug96 I hope so too! Just keep with it for a few more weeks and if you still don't feel better, talk to your doctor. Celexa was horrible for me so I stopped taking it.|nicebug  hope           weeks      feel  talk   doctor celexa  horrible     stopped taking 
40|@ActAppalledxx mines lexapro but my bf is on celexa and he had some of that at first 2... i feel p zombie-y tbh so im glad that's normal, im just so fcking tired n it feels like i barely slept bc im not rly gettin tired at night &amp; i keep waking up randomly. luckily im telewking today or id die|actappalledxx mines lexapro   bf   celexa           feel  zombie tbh  im glad  normal im   fcking tired   feels   barely slept bc im  rly gettin tired  night amp   waking  randomly luckily im telewking   id die
41|@nicebug96 When I was on Celexa I didn't sleep at all the first 3 days. I felt like a zombie and still had to work. Are you sleeping too much or not sleeping at all?|nicebug     celexa   sleep      days     zombie        sleeping     sleeping  
42|I neeed celexa today . Immediately 🥺| neeed celexa   immediately 🥺
43|@ScottAdamsSays I was offered Wellbutrin many times by doctors when I complained about Prozac when I had been on it for ten years and then later after I had been on Celexa for another ten years. I decided to wean off slowly.|scottadamssays   offered wellbutrin  times  doctors   complained  prozac        ten          celexa   ten   decided  wean  slowly
44|@SenatorIvy @Meelsie143 They gave me Celexa and it was a disaster. Within two days I was a mess, like "not taking this." Still went to counseling though. In the meantime, my wife also noticed I was having memory issues, and that I only ever focus on anything for 20 minutes max, and she put it together.|senatorivy meelsie    celexa     disaster   days    mess   taking     counseling    meantime  wife  noticed    memory issues      focus     minutes max     
45|zoloft lexapro prozac psychiatrist wanted to put me on abilify too. i’ve also been on celexa but it’s not mentioned here https://t.co/ip5asP7yGL|zoloft lexapro prozac psychiatrist      abilify  ve    celexa    mentioned  httpscoipaspygl
46|But make it celexa lmaoooo. https://t.co/EbJUzcz7x6|   celexa lmaoooo httpscoebjuzczx
47|also Celexa? Slay 😍| celexa slay 😍
48|Don't forget your celexa. You're barbaric without it. But apoplexy never goes away; warmth is ever out of reach.| forget  celexa re barbaric    apoplexy  goes  warmth     reach
49|@RealRajTatum I was on Lexapro for years; my BC evened out what it did to my sex drive and satisfaction, but it shot my cholesterol up. Can't go on my old BC and Celexa killed my orgasms. Withdrawal right now is brutal, just like Lexapro. I pray Wellbutrin works for me!|realrajtatum    lexapro    bc evened       sex drive  satisfaction   shot  cholesterol       bc  celexa killed  orgasms withdrawal    brutal   lexapro  pray wellbutrin   
50|@MargoSloan215 Wellbutrin is the only type of antidepressant that works for me. Celexa gave me Brain Shocks when I had withdrawal|margosloan wellbutrin    type  antidepressant     celexa   brain shocks    withdrawal
51|Please update FAERS 10076272 re: 2nd Ft Hood shooter, @US_FDA, to also include #Wellbutrin, #Celexa, and #Lunesta. https://t.co/uH0GJsD5mB These drugs listed in Army's mass shooting report, along with #Ambien. https://t.co/CEiB98txZ7 @elonmusk @GSK @sanofi @Sunovion @abbvie|please update faers  re nd ft hood shooter usfda   include wellbutrin celexa  lunesta httpscouhgjsdmb  drugs listed  army mass shooting report   ambien httpscoceibtxz elonmusk gsk sanofi sunovion abbvie
52|@ellle_em Also use Concerta, Celexa (for now). Also quit drinking 15 years ago almost. My exercise program remains None, though.|ellleem   concerta celexa    quit drinking   ago   exercise program remains none 
53|@DuckDealer1 40mg Celexa, doesn't stop me from being entirely depressed but it's a shit tonne better than it was and I still feel like myself|duckdealer mg celexa  stop    entirely depressed    shit tonne        feel  
54|@BudFaery Wellbutrin, Paxil, zoloft, klonopin, Celexa... Props one or two I'm forgetting|budfaery wellbutrin paxil zoloft klonopin celexa props     forgetting
55|Celexa (daily) and Klonopin (as needed). Previously Lexapro (daily) and Xanax (as needed). Getting medicated is one of the best things I ever did for myself, and I wholeheartedly recommend it! https://t.co/xUKndCQH4a|celexa daily  klonopin   previously lexapro daily  xanax   getting medicated              wholeheartedly recommend  httpscoxukndcqha
56|Bo Burnham's Netflix documentary "Inside" is a total bipolar manic episode "tour de force" as they say. I felt like I needed a Celexa. A critique of the 2020-21 lockdown period, our bad addiction to media and content, and the mental health crisis of our time, which he knows well.|bo burnham netflix documentary inside   total bipolar manic episode tour de force          celexa  critique    lockdown period  bad addiction  media  content   mental health crisis   time    
57|@BennyGesserit hell yeah, most of the time my brain is fine (my everyday pill is Celexa) but then sometimes my brain is like "THE DEMONS ARE HERE"|bennygesserit hell yeah    time  brain  fine  everyday pill  celexa   sometimes  brain    demons  
58|UGH I feel like strangling the psychiatrist who suggested I should just trade my Celexa for Wellbutrin without tapering, when dizziness from SSRI withdrawal is definitely a thing. She was like, "Oh, no, it should be fine..."I tapered and STILL feel like hell. UGH DIZZY|ugh  feel  strangling  psychiatrist  suggested    trade  celexa  wellbutrin  tapering  dizziness  ssri withdrawal  definitely      oh     fine tapered   feel  hell ugh dizzy
59|@SimonsonMolly @DrHarryThomas After suffering with untreated depression/anxiety for years, and then searching for something that helped, I was finally put on both Celexa &amp; Wellbutrin &amp; for over 20 years now I’ve only had a few episodes of depression/panic. I am so thankful for these meds.|simonsonmolly drharrythomas  suffering  untreated depressionanxiety     searching    helped   finally    celexa amp wellbutrin amp      ve     episodes  depressionpanic    thankful   meds
60|Taking Celexa, an anti-anxiety medication, has softened my misophonia considerably. Anyone else out there experience misophony?|taking celexa  antianxiety medication  softened  misophonia considerably  else   experience misophony
61|@_SB129 Effexor made it ever WORSE. Thank god for Celexa😂|sb effexor    worse thank god  celexa😂
62|This is celexa erasure. https://t.co/rIDjgrAVau|  celexa erasure httpscoridjgravau
63|@AceTheFallen celexa/citalopram always gets left out 🤠✌️|acethefallen celexacitalopram   left  🤠✌️
64|Celexa made me a whole different animal in the bedroom. Haha https://t.co/lQddJSDtbk|celexa      animal   bedroom haha httpscolqddjsdtbk
65|@zaid Same but Celexa. SSRIs had their short term benefits but eventually turned me into a complacent zombie|zaid   celexa ssris   short term benefits  eventually     complacent zombie
