count|raw_tweet|processed_tweet
1|~vibe voyage viibryd~|~vibe voyage viibryd~
2|What are the most common side effects of Viibryd https://t.co/w0T41JcPYm|    common  effects  viibryd httpscowtjcpym
3|My psychiatrist just prescribed Viibryd, which unfortunately is not a vibrator.| psychiatrist  prescribed viibryd  unfortunately    vibrator
4|@thenorcalpaint I don't mean to brag but I've definitely left a trail of failed antidepressants in my wake. Wellbutrin (bupropion) worked well for me until it gave me a seizure. Now on Viibryd which is the only other thing that's worked without making me gain super weight (but couldn't lose)|thenorcalpaint   mean  brag   definitely left  trail  failed antidepressants   wake wellbutrin bupropion          seizure   viibryd            gain super weight   lose
5|@toomanyspectra I went through this last year when I turned 26. Obamacare insurance wouldn't cover Viibryd so I has to switch cold-turkey to fluoxetine. Viibryd was going to cost 1500/month 😬|toomanyspectra           obamacare insurance  cover viibryd     switch coldturkey  fluoxetine viibryd    cost month 😬
6|@ReverendWarnock Would love this for non-seniors - just paid $470 for an anti-depressant, Viibryd.|reverendwarnock  love   seniors   paid    antidepressant viibryd
7|@AbbieNicholas2 I’ve tried a few different antidepressants over the last 10 years and Viibryd is by far the best! It doesn’t have that sedated feeling, which I love. Ask your doctor about it!|abbienicholas ve tried    antidepressants       viibryd       doesn   sedated feeling   love   doctor  
8|There you are!I was doing well. The Viibryd's been keeping my bipolar pendulum to a manageable oscillation.Was wondering when the tar in my marrow would snake its way back around my head &amp; heart and whisper how shit I am.For old time's sake, eh Abyss, back into the breach? https://t.co/R1DImfcG1V|       viibryd  keeping  bipolar pendulum   manageable oscillation wondering   tar   marrow  snake      head amp heart  whisper  shit    time sake eh abyss    breach httpscordimfcgv
9|@iamtallnat Ooo ya I like Viibryd now but that’s on that expensive name brand insurance coverage|iamtallnat ooo ya   viibryd      expensive name brand insurance coverage
10|@yourdarc Ever tried trazodone or Lunesta or hydroxyzine for sleep?  Trazodone works fine for me. Paroxetine is very old, was hell for me. The most often prescribed AD’s are Venlaxafine HCL XR (euro countries say safe meds are dangerous) also Escitalopram…viibryd, trintellix are new|yourdarc  tried trazodone  lunesta  hydroxyzine  sleep  trazodone  fine   paroxetine     hell      prescribed ad  venlaxafine hcl xr euro countries  safe meds  dangerous  escitalopram…viibryd trintellix  
11|@slaycalz other awful ones were latuda and viibryd , both gave me oculogyric crisis . basically my eyes rolled up uncontrollably and it was fucking awful esp considering i already have chronic headaches , it made it much worse . and i had to leave school because i couldn't read or see shit|slaycalz  awful ones  latuda  viibryd     oculogyric crisis  basically  eyes rolled  uncontrollably    fucking awful esp considering    chronic headaches      worse      leave school    read   shit
12|@KDenne13 Are you on BOP insurance, and if so did Express Scripts give you a hard time about Viibryd since there is no generic? I’d been on it for over a year when we switched from Optum, and for a while it looked like Express Scripts wasn’t going to cover my Viibryd. (They finally did.)|kdenne    bop insurance     express scripts    hard time  viibryd     generic           switched  optum      looked  express scripts wasn   cover  viibryd  finally 
13|@KDenne13 Brain zaps were AWFUL with Cymbalta. With Viibryd I have skipped a whole day and no brain zaps.|kdenne brain zaps  awful  cymbalta  viibryd   skipped   day   brain zaps
14|My Viibryd is in the car. I usually take it before bed. I don’t feel like going back outside. I think I’ll take it on my way to work in the morning. Maybe it will last longer that way anyway?| viibryd    car  usually    bed  don feel    outside   ll          morning maybe       anyway
15|RT @Greenshields09: Vilazodone &gt; Fluvoxaminehttps://t.co/HOKyFQZs1eAn extended conformation of SARS-CoV-2 main protease reveals allosteri…|rt greenshields vilazodone gt fluvoxaminehttpscohokyfqzsean extended conformation  sarscov main protease reveals allosteri…
16|i take viibryd which is a med you /have/ to take with food and i should probably tell my psych that's a problem for me but also im tired of trying meds and i don't wanna bring up my ed so i guess we'll suffer &lt;3|  viibryd    med      food    probably tell  psych        im tired  trying meds    wanna bring   ed   guess  suffer lt
17|@AssusReamus I take Viibryd and it’s the best 😊#Depresion #Anxiety #MentalHealthMatters|assusreamus   viibryd     😊depresion anxiety mentalhealthmatters
18|@jenbretty Nothing wrong with that. I started a new one..Viibryd.  I  have to admit pretty impressive. If it makes you feel better, take the edge off. Do it.|jenbretty  wrong    started   viibryd      admit pretty impressive   makes  feel    edge   
19|@ajacobson921 Viibryd 40 mg, buspirone 30 mg, aripiprazole 5 mg. It’s a good life.|ajacobson viibryd  mg buspirone  mg aripiprazole  mg    life
20|@carrie4beto I had a similar issue with Viibryd. Had to find another similar med the insurance would cover. You can usually get in a discount program with the makers of your prescription and that may help.|carriebeto    similar issue  viibryd     similar med  insurance  cover   usually    discount program   makers   prescription    help
21|@iamtallnat Ooo ya I like Viibryd now but that’s on that expensive name brand insurance coverage|iamtallnat ooo ya   viibryd      expensive name brand insurance coverage
