count|raw_tweet|processed_tweet
1|@tesfayehxourz @softsteph1 @www_zoloft_com @hxsvx7 Fr and everyone just reads something on here and believe it to be true like how can u be that gullible do some research before spreading something untrue|tesfayehxourz softsteph wwwzoloftcom hxsvx fr    reads     believe    true       gullible   research  spreading  untrue
2|@EightWitTha24 @purpleunicorn0o @bolshevistbrit @BritneyTheStan Man, I sincerely hope that works out for you. I can’t imagine being on lithium. I’m on Zoloft, which is apple juice in comparison but it has its effects too. Mainly these love handles lol|eightwittha purpleunicorno bolshevistbrit britneythestan   sincerely hope        imagine   lithium   zoloft   apple juice  comparison     effects  mainly  love handles lol
3|@instant_party 1 general practitioner and 2 specialists, but we are talking about a low dose of Zoloft and 2 fucking nose sprays, somehow under 2 different specialists. I have no idea how it became this convoluted. I am literally pinging between CVS and my general's answering machine (lmfao)|instantparty   practitioner   specialists    talking   low dose  zoloft   fucking nose sprays somehow    specialists    idea     convoluted   literally pinging  cvs    answering machine lmfao
4|@softsteph1 @www_zoloft_com @dogfromhelll @hxsvx7 jumping to conclusions is saying this is bella hadid. it really wouldn't take that long to google.|softsteph wwwzoloftcom dogfromhelll hxsvx jumping  conclusions  saying   bella hadid        google
5|@paradox_perry @allentien I will. That’s a good idea! Zoloft isn’t helping.|paradoxperry allentien      idea zoloft isn helping
6|I can’t wait to get some Zoloft. Hopefully soon.|  wait    zoloft hopefully soon
7|If I’m they Daddy I’m canceling they prescription of Zoloft, go tell God what they doin https://t.co/9QsboIM3IK|   daddy  canceling  prescription  zoloft  tell god   doin httpscoqsboimik
8|@uarmyhoperson se junte ao clubinho do zoloft também|uarmyhoperson se junte ao clubinho  zoloft também
9|i am getting my zoloft 🫶🫶🫶|  getting  zoloft 🫶🫶🫶
10|Oh Naur I ran out of Zoloft|oh naur  ran   zoloft
11|@Lxnnalive Power to you! Just be careful of the Rxs side effects. I took zoloft for years... (for me anyway) when i stopped (even slowing) the withdrawals were terrible. Thought i was losing my mind, then got shingles! Melatonin and natural herbs work too. Wishing you all the very best!|lxnnalive power     careful   rxs  effects   zoloft     anyway   stopped  slowing  withdrawals  terrible    losing  mind   shingles melatonin  natural herbs   wishing     
12|cholos on zoloft, call that depr(ese)ion|cholos  zoloft call  depreseion
13|8- Zoloft https://t.co/t0YgKWMPQF| zoloft httpscotygkwmpqf
14|Supposed to start Zoloft but I work the next 12 days in a row so like… idk when that’s gonna be possible 😂😭|supposed  start zoloft       days   row  … idk   gonna   😂😭
15|go go gadget zoloft!|  gadget zoloft
16|“Why do I need Zoloft for in Cabo?”|    zoloft   cabo
17|@plumbellayt You get heart palpitations too? That shit is so scary! I’m on Zoloft for my anxiety and although I don’t get as anxious as I used to, I still get scared when I get palpitations and panic attacks 🙀|plumbellayt   heart palpitations   shit   scary   zoloft   anxiety    don   anxious        scared    palpitations  panic attacks 🙀
18|@RitixGuerreiro @S4FR4_DE_70 @Alexand50239102 @AnaPaulaSimes14 @MikeGwadloup04 @561Lia @BarjonaJoao @LusPedroPinto1 @omalestafeito @Belinhaaposos60 @MiguelC40130919 @vitorhteixeira @MariaInSana1 @CoelhoCuervo @csdo_perdido @luispires @JoanaBizarro @abrodrigues63 @Pndulo @jccosta64 @paulocarrasco @mariaarvore @jtmpm3f @desagouveia @ArturAnjos @misister @O_Saloio @KatKatrinaNeves @LIAWHITING1 @petridudus @EuSouZarolho @carmoafonso Diazepam? Nah, Victan é melhor. E um Zoloft para rebater .|ritixguerreiro sfrde alexand anapaulasimes mikegwadloup lia barjonajoao luspedropinto omalestafeito belinhaaposos miguelc vitorhteixeira mariainsana coelhocuervo csdoperdido luispires joanabizarro abrodrigues pndulo jccosta paulocarrasco mariaarvore jtmpmf desagouveia arturanjos misister osaloio katkatrinaneves liawhiting petridudus eusouzarolho carmoafonso diazepam nah victan é melhor  um zoloft para rebater 
19|Zoloft and coffee zoloft and coffee https://t.co/vsmJTaErIU|zoloft  coffee zoloft  coffee httpscovsmjtaeriu
20|Like always go to nap and have thoughts pop up had to share this one….how much Zoloft does one need to survive and get through a baseball season?!? Idk if mine is enough 😂|    nap    pop    share  …  zoloft     survive     baseball season idk  mine   😂
21|RT @loveinbIood: the robins as antidepressants i've takendick: pristiq and abilifytim: zoloftjason: weeddamian: should be taking lexap…|rt loveinbiood  robins  antidepressants  takendick pristiq  abilifytim zoloftjason weeddamian   taking lexap…
22|RT @poopjoke666: squidward on zoloft https://t.co/ibgDZBJ46W|rt poopjoke squidward  zoloft httpscoibgdzbjw
23|Do you lack energy? Does it sometimes feel like the whole world is *Jihotties*? Zoloft. #cah|  lack energy   sometimes feel    world  jihotties zoloft cah
24|@zoloft_12 NOI|zoloft noi
25|the robins as antidepressants i've takendick: pristiq and abilifytim: zoloftjason: weeddamian: should be taking lexapro but refuses tosteph: bupropion| robins  antidepressants  takendick pristiq  abilifytim zoloftjason weeddamian   taking lexapro  refuses tosteph bupropion
26|starting zoloft made me lose 6lbs  power move tbh 🫶|starting zoloft   lose lbs  power move tbh 🫶
27|@JoeRoss1776 IDK. Pfizer makes everything from Zoloft to Viagra. It is a multi-billion dollar company. And America is indeed run by large corporations that tend to become either monopolies or quasi monopolies in this corrupt excuse for a country.|joeross idk pfizer makes   zoloft  viagra    multibillion dollar company  america  indeed run   corporations  tend    monopolies  quasi monopolies   corrupt excuse   country
28|@incoherentethan I did this with my zoloft and it was honestly the worst two weeks of my life|incoherentethan      zoloft    honestly  worst  weeks   life
29|@ggreenwald @MollyJongFast /tfw the Zoloft &amp; Xanax chaser kicks in|ggreenwald mollyjongfast tfw  zoloft amp xanax chaser kicks 
30|@thefactualprep She’s had this tweet and the tweet about Epstein implicating “some of our faves” that were truly a look behind the curtain…day drinking?  Zoloft tweeting?  Idk|thefactualprep    tweet   tweet  epstein implicating    faves   truly  look   curtain…day drinking  zoloft tweeting  idk
31|@AliceFromQueens I had a little bit of insomnia for the first month I was on Wellbutrin, but the insomnia subsided. It worked very well, though, for my depression. It worked much better than Lexapro or Zoloft, which tried their damnedest to make me fat.|alicefromqueens    little bit  insomnia    month    wellbutrin   insomnia subsided        depression      lexapro  zoloft  tried  damnedest    fat
32|Anyone who’s been on Zoloft (sertraline) pleaseeee tell me your experiences while on them. 2 years on  Lexapro (escitalopram) and I’m tired of not feeling anything and literally just tired|    zoloft sertraline pleaseeee tell   experiences        lexapro escitalopram   tired   feeling   literally  tired
33|@turb0thots779 na i just take another zoloft|turbthots na     zoloft
34|RT @ihavedisease: Psych's got me on:ABILIFY® 30mg @bmsnewsHALDOL® 7mg @upshersmithjobs MELLARIL® 800mg @Novartis SEROQUEL® XR 300mg @As…|rt ihavedisease psych   abilify® mg bmsnewshaldol® mg upshersmithjobs mellaril® mg novartis seroquel® xr mg …
35|sometimes you panic and then other times you refill your zoloft prescription and those are the two phases of life|sometimes  panic    times  refill  zoloft prescription      phases  life
36|RT @ennarrative: make up your mind — enha auXanax, Paxil, Buspar, Zoloft, Depakote, Klonopin, Ativan, Ambien, Prozac… https://t.co/qn9bOv…|rt ennarrative    mind  enha auxanax paxil buspar zoloft depakote klonopin ativan ambien prozac… httpscoqnbov…
37|i may have accidentally taken my meds twice today.. let's see what happens with 300mg of zoloft|   accidentally   meds twice     happens  mg  zoloft
38|That Zoloft my boi https://t.co/xxAnrGeTok| zoloft  boi httpscoxxanrgetok
